Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cabo Verde,CPV,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.391769886,6.801680088,,,7.87682,,7.47664,,6.5296,5.40755,5.518,5.30896,5.56729,5.04361,,5.00144,4.96387,5.26691,5.28879,5.17322,
Costa Rica,CRI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,7.347169876,,4.885069847,4.957779884,,,4.420269966,,4.013229847,4.077849865,,,,,,3.371680021,3.910860062,,,5.416870117,4.68696,4.8511,5.17354,5.15636,4.91218,,4.63918,4.6589,4.91712,6.04635,6.63445,6.45535,6.68984,6.84934,6.86952,7.08254,7.09768,7.4026,
Caribbean small states,CSS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,8.36909008,,,,,,,,,,,7.14496994,,7.074769974,5.619480133,,,,6.208730221,6.755239964,7.70481,8.35809,9.57117,9.94086,10.26823,10.55778,9.05717,11.86821,14.05908,13.12486,12.83731,,,,,,,,
Curacao,CUW,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.93095,,,,,
Cayman Islands,CYM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34618,2.60739,,,,,,,,,,,,
Cyprus,CYP,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,4.335020065,3.819700003,3.385489941,3.312340021,3.353130102,3.426009893,3.791320086,3.731780052,,3.601910114,3.586960077,3.488970041,3.448709965,3.375469923,3.376270056,3.339240074,3.5753901,3.780299902,4.09555006,4.159969807,3.741230011,,,,4.772079945,4.98954,5.11552,5.58167,6.67023,6.11772,6.28667,6.33027,6.28083,6.72396,7.20621,6.58025,6.56242,,6.43177,6.37474,6.3753,,,
Czech Republic,CZE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.775079966,4.184519768,4.678850174,4.545629978,4.270390034,,3.597199917,3.684809923,3.65089,3.74855,3.97256,4.13643,4.01424,3.89038,4.2171,3.86663,3.74455,4.17128,4.06446,4.27214,4.25086,4.09089,3.99462,5.78885,5.58738,,
Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41381979,4.334879875,4.420790195,4.48319006,,4.453450203,,,,,,,,4.2793,4.34303,4.40954,4.88048,4.91368,4.8078,4.93331,4.93497,4.92086,4.80518,4.80093,,
Djibouti,DJI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.629479885,9.66,7.80543,8.4476,8.88985,9.26467,8.36589,8.27878,8.40625,,,4.49022,,,,,,,,
Dominica,DMA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.28990984,,,,,,,,,5.739860058,4.028580189,,,,,,,,,,,,,,,,3.38688,,,
Denmark,DNK,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,5.955520153,6.39357996,6.481299877,6.26609993,6.581530094,6.713129997,,5.672130108,5.753479958,5.586480141,5.910920143,,,,,,5.83825016,6.078080177,6.335330009,5.838140011,,5.596759796,,7.772819996,7.471059799,7.471030235,7.884940147,,8.106739998,7.931159973,8.08433,8.21545,8.21303,8.12194,8.20763,8.08557,7.72991,7.6156,7.47605,8.44888,8.55955,8.48486,7.23782,8.49443,7.63485,,,,
Dominican Republic,DOM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,2.640789986,,,,,,,,,,,,1.538910031,1.463829994,1.334550023,1.210190058,,,,,,,,0.773949981,0.893369973,1.033300042,1.22724998,,,,1.88829,1.96783,1.91401,1.84465,,,,2.04679,,,,,,,,,,,
Algeria,DZA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,7.182010174,6.597420216,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33702,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,2.002830029,1.879400015,,,,,,2.418839931,,,,,,,4.203420162,5.2333498,6.87237978,,,,,,,,,1.997640014,,,2.195369959,1.547340035,1.15093,,,,,,,,,4.34242,4.50743,4.72689,4.64307,5.00464,5.26099,4.9987,,,
"Egypt, Arab Rep.",EGY,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,4.529920101,4.537899971,,5.226669788,4.892429829,4.943429947,4.549580097,4.941120148,,4.280320168,,5.608300209,5.221489906,,,,,4.525219917,4.600059986,,,4.050670147,4.197700024,4.583759785,4.604000092,4.671569824,,,,,,,4.94563,4.67072,4.79443,4.00178,3.68461,3.76083,,,,,,,,,,
Euro area,EMU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.518079996,,4.256400108,4.568029881,,4.04716,3.5239,,3.14897,,2.127,,,,,,,,,,,,
Spain,ESP,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,1.838000059,1.894430041,2.070270061,,1.463529944,,1.904569983,2.082829952,2.236799955,2.344419956,,,,,,,,3.136699915,3.337369919,3.561450005,3.643490076,3.752540112,3.847609997,4.256450176,4.496890068,4.44671011,4.468520164,,4.302959919,4.27052021,4.17637,4.11988,4.13603,4.16717,4.14829,4.13003,4.16759,4.23332,4.50094,4.86771,4.81912,4.86633,4.43188,4.32834,4.2799,4.27239,4.20911,,
Estonia,EST,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.073050022,6.105840206,6.448190212,6.298600197,6.68735981,5.34021,5.23648,5.46868,5.29463,4.91181,4.84486,,4.66396,5.51751,5.95415,5.527,5.01738,4.71293,4.83838,5.39886,5.13904,5.17316,,
Ethiopia,ETH,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,2.112349987,2.302059889,2.112030029,2.337569952,2.137949944,,,,,,,2.3542099,,,2.774620056,2.757940054,,,3.98311,3.70029,3.63245,,,,5.49096,5.45113,5.4082,4.42207,4.49659,5.48576,5.56678,4.49855,4.60202,4.73792,,,
European Union,EUU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
